ID,Budget_y,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue_y,Runtime,Title_y,MPAA,Running Time,Genres,Title_x,imdb_ids,Domestic Distributor,Domestic Opening,Earliest Release Date,Budget_x,domestic_revenue,international_revenue,worldwide_revenue,Release Year,Merged Budget,Merged Revenue
66942,2902660,"[10749, 35, 18, 878]","['Romance', 'Comedy', 'Drama', 'Science Fiction']",tt1509803,"[7584, 14430, 10951, 144284, 175535]","['Screen Australia', 'Fulcrum Media Finance', 'Screen NSW', 'Frame, Set & Match', 'Green Park Pictures']",3/1/11,0,93,Griff the Invisible,PG-13,1 hr 30 min,Comedy Drama Romance Sci-Fi,Griff the Invisible (2010),tt1509803,,,"March 17, 2011 (Australia)",0,147831,147831,,2011,2902660,147831
92277,2000000,"[35, 10749]","['Comedy', 'Romance']",tt1511425,[],[],3/23/12,0,91,Losing Control,R,1 hr 31 min,Comedy,Losing Control (2011),tt1511425,House Lights Media,2196,"March 23, 2012 (Domestic)",0,22081,22081,,2012,2000000,22081
58574,125000000,"[12, 28, 80, 9648]","['Adventure', 'Action', 'Crime', 'Mystery']",tt1515091,"[174, 79, 1885, 23202, 2723]","['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Silver Pictures', 'Wigram Productions', 'Lin Pictures']",11/22/11,334615000,129,Sherlock Holmes: A Game of Shadows,PG-13,2 hr 9 min,Action Adventure Mystery,Sherlock Holmes: A Game of Shadows (2011),tt1515091,Warner Bros.,39637079,"December 15, 2011 (EMEA, APAC)",0,186848418,357000000,543848418,2011,125000000,186848418
180767,0,"[12, 35, 18, 10751]","['Adventure', 'Comedy', 'Drama', 'Family']",tt1516577,[5220],['Pasidg Productions Inc.'],2/19/11,0,87,Sedona,,1 hr 30 min,Adventure Comedy Drama,Sedona (2011),tt1516577,Pasidg Productions,,"March 16, 2012 (Domestic)",0,21638,21638,,2011,100000,21638
56288,27000000,"[10751, 35, 28]","['Family', 'Comedy', 'Action']",tt1517489,[7405],['Dimension Films'],8/18/11,85564310,89,Spy Kids: All the Time in the World,PG,1 hr 29 min,Action Adventure Comedy Drama Family Fantasy Music Musical Sci-Fi Sport,Spy Kids 4: All the Time in the World (2011),tt1517489,Dimension Films,11644672,"August 18, 2011 (APAC, EMEA)",27000000,38538188,47026122,85564310,2011,27000000,38538188
131245,0,[99],['Documentary'],tt1518255,[],[],6/21/11,1486,94,Raw Faith,,1 hr 34 min,Biography Documentary Drama Family Romance,Raw Faith (2010),tt1518255,Alive Mind Cinema,,"June 24, 2011 (Domestic)",0,23667,23667,,2011,100000,23667
112937,0,"[12, 10751, 14]","['Adventure', 'Family', 'Fantasy']",tt1520498,[],[],8/29/12,0,88,The Oogieloves in the Big Balloon Adventure,,1 hr 28 min,Adventure Family Fantasy Musical,The Oogieloves in the Big Balloon Adventure (2012),tt1520498,Kenn Viselman Presents,443901,"August 29, 2012 (Domestic)",20000000,1065907,1065907,,2012,20000000,1065907
61891,30000000,"[18, 36, 53]","['Drama', 'History', 'Thriller']",tt1521197,"[347, 5, 7295, 264]","['Centropolis Entertainment', 'Columbia Pictures', 'Relativity Media', 'Studio Babelsberg']",10/21/11,15395087,130,Anonymous,PG-13,2 hr 10 min,Drama Thriller,Anonymous (2011),tt1521197,Sony Pictures Entertainment (SPE),1021768,"October 28, 2011 (EMEA, Domestic)",30000000,4463292,10931795,15395087,2011,30000000,4463292
111374,650,[35],['Comedy'],tt1521242,"[32393, 32392]","['KBS Films', 'Immense Productions']",7/13/12,0,83,Tortoise in Love,,1 hr 24 min,Comedy,Tortoise in Love (2012),tt1521242,,,"June 14, 2012 (New Zealand)",0,135406,135406,,2012,100000,135406
75576,0,"[18, 53, 9648]","['Drama', 'Thriller', 'Mystery']",tt1523939,[],[],9/22/11,0,124,Answers to Nothing,R,2 hr 4 min,Drama Mystery Romance,Answers to Nothing (2011),tt1523939,Roadside Attractions,14262,"December 2, 2011 (Domestic)",0,22029,22029,,2011,100000,22029
77866,25000000,"[53, 28, 18, 80]","['Thriller', 'Action', 'Drama', 'Crime']",tt1524137,"[33, 7295, 10163, 10970, 8536, 8537, 8538, 694]","['Universal Pictures', 'Relativity Media', 'Working Title Films', 'BlueEyes Productions', 'Leverage', 'Closest to the Hole Productions', 'Farraday Films', 'StudioCanal']",1/12/12,96262212,109,Contraband,R,1 hr 49 min,Action Adventure Crime Drama Mystery Thriller,Contraband (2012),tt1524137,Universal Pictures,24349815,"January 12, 2012 (APAC, EMEA)",25000000,66528000,29734212,96262212,2012,25000000,66528000
84204,0,"[878, 35, 53, 27, 9648]","['Science Fiction', 'Comedy', 'Thriller', 'Horror', 'Mystery']",tt1525366,"[21597, 11571, 17748, 51929, 1898]","['High Treason Productions', 'Samson Films', 'Forward Films', 'Nvizible', 'Fís Éireann/Screen Ireland']",8/10/12,427335,94,Grabbers,,1 hr 34 min,Action Adventure Comedy Horror Sci-Fi Thriller,Grabbers (2012),tt1525366,,,"August 10, 2012 (United Kingdom)",0,427335,427335,,2012,100000,427335
87425,0,"[18, 53, 9648, 10749]","['Drama', 'Thriller', 'Mystery', 'Romance']",tt1525552,[],[],3/9/11,0,85,Apart,Unrated,1 hr 25 min,Drama Mystery Romance Thriller,Apart (2011),tt1525552,Truly Indie,3161,"March 9, 2012 (Domestic)",0,3161,3161,,2011,100000,3161
65953,119567,[18],['Drama'],tt1525838,[7314],['A Small Production Company'],8/5/11,0,86,Gun Hill Road,R,1 hr 26 min,Drama,Gun Hill Road (2011),tt1525838,Motion Film Group,37963,"August 5, 2011 (Domestic)",0,148994,148994,,2011,119567,148994
73588,0,"[27, 53, 9648]","['Horror', 'Thriller', 'Mystery']",tt1525890,"[5056, 11785, 24513, 25953, 25954]","['Head Gear Films', 'Alcove Entertainment', 'Pimienta', 'The Salt Company International', 'Metrol Technology']",8/26/11,0,92,The Caller,R,1 hr 32 min,Horror Thriller,The Caller (2011),tt1525890,,,"September 26, 2013 (Peru)",0,229746,229746,,2011,100000,229746
62215,7400000,"[18, 878]","['Drama', 'Science Fiction']",tt1527186,"[76, 321, 8288, 7777, 11239, 8289, 119, 2801, 94]","['Zentropa Entertainments', 'Memfis Film', 'Zentropa International Sweden', 'Slot Machine', 'Liberator Productions', 'Zentropa International Köln', 'DR', 'Film i Väst', 'ARTE France Cinéma']",5/26/11,15946321,135,Melancholia,R,2 hr 15 min,Drama Sci-Fi,Melancholia (2011),tt1527186,Magnolia Pictures,257174,"May 26, 2011 (EMEA)",0,3030848,14474700,17505548,2011,7400000,3030848
64655,0,[18],['Drama'],tt1527835,[109740],['Wild Horse Film Company'],3/4/11,0,114,Archipelago,,1 hr 54 min,Drama,Archipelago (2010),tt1527835,,,"March 4, 2011 (United Kingdom)",0,7791,504845,512636,2011,100000,7791
59065,0,[18],['Drama'],tt1528312,"[12695, 729, 856, 15130, 1926, 7680]","['Sixteen Films', 'Why Not Productions', 'Wild Bunch', 'Urania Pictures', 'Les Films du Fleuve', 'Tornasol Films']",3/16/11,0,109,Route Irish,,1 hr 49 min,Action Drama Thriller War,Route Irish (2010),tt1528312,,,"March 16, 2011 (France)",0,1022411,1022411,,2011,100000,1022411
45658,5000000,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']",tt1531663,[7437],['IM Global'],5/13/11,2614773,97,Everything Must Go,R,1 hr 37 min,Drama,Everything Must Go (2010),tt1531663,Roadside Attractions,791676,"May 13, 2011 (Domestic)",5000000,2711643,108847,2820490,2011,5000000,2711643
