,TMDB ID,TMDB Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,TMDB Revenue,Runtime,TMDB Title,MPAA,Running Time,Genres,IMDB Title,Domestic Distributor,Domestic Opening,Earliest Release Date,IMDB Budget,IMDB Domestic Revenue,international_revenue,worldwide_revenue,Release Year,Merged Budget,Merged Revenue
918,140381,0,[],[],tt1860263,[],[],2/25/11,0,82,Las catedrales del vino,,,Documentary,Las catedrales del vino (2011),,,"February 25, 2011 (Spain)",0,701,701.0,,2011,100000,701
919,82620,0,[99],['Documentary'],tt1860355,[],[],12/12/11,583844,113,Undefeated,PG-13,1 hr 53 min,Documentary Sport,Undefeated (2011),The Weinstein Company,33165.0,"February 17, 2012 (Domestic)",0,562218,21626.0,583844.0,2011,100000,562218
920,83040,0,"[99, 18]","['Documentary', 'Drama']",tt1861281,[],[],6/17/11,0,93,Battle for Brooklyn,,1 hr 33 min,Documentary Drama,Battle for Brooklyn (2011),RumuR Inc.,11141.0,"June 17, 2011 (Domestic)",0,18000,18000.0,,2011,100000,18000
921,84332,750000,"[35, 10749, 878]","['Comedy', 'Romance', 'Science Fiction']",tt1862079,"[1974, 188]","['Duplass Brothers Productions', 'Big Beach']",6/8/12,4424699,86,Safety Not Guaranteed,R,1 hr 26 min,Adventure Comedy Drama Fantasy Romance,Safety Not Guaranteed (2012),FilmDistrict,97762.0,"June 8, 2012 (Domestic)",0,4010957,413742.0,4424699.0,2012,750000,4010957
922,84917,0,[99],['Documentary'],tt1863406,[],[],1/20/12,0,83,The City Dark,,1 hr 23 min,Documentary News,The City Dark (2011),Argot Pictures,2983.0,"January 18, 2012 (Domestic)",0,9269,9269.0,,2012,100000,9269
923,694054,0,[],[],tt1863413,[],[],6/2/11,0,0,The Importance of Being Earnest,,1 hr 31 min,Comedy,The Importance of Being Earnest (2011),,,"June 2, 2011 (New Zealand)",0,67121,67121.0,,2011,100000,67121
924,65058,0,[99],['Documentary'],tt1864288,[],[],6/24/11,223959,89,Conan O'Brien Can't Stop,R,1 hr 29 min,Comedy Documentary Music,Conan O'Brien Can't Stop (2011),Abramorama,97043.0,"June 24, 2011 (Domestic)",0,267965,267965.0,,2011,100000,267965
925,139715,500000,"[35, 27]","['Comedy', 'Horror']",tt1865346,[101867],['Gala Films'],4/27/12,0,87,Detention of the Dead,,1 hr 27 min,Action Adventure Comedy Horror Sci-Fi Thriller,Detention of the Dead (2012),Anchor Bay Films,1332.0,"June 28, 2013 (Domestic)",0,1777,1777.0,,2012,500000,1777
926,98886,0,[99],['Documentary'],tt1865425,[114941],['Future Bliss Films'],6/20/12,0,86,Kumaré,,1 hr 24 min,Documentary,Kumaré (2011),Kino Lorber,9601.0,"June 20, 2012 (Domestic)",0,132160,132160.0,,2012,100000,132160
927,113947,1000000,"[18, 10749, 35]","['Drama', 'Romance', 'Comedy']",tt1866249,"[13195, 1591]","['Such Much Films', 'Rhino Films']",5/2/12,9138338,95,The Sessions,R,1 hr 35 min,Biography Comedy Drama Romance,The Sessions (2012),Fox Searchlight,113467.0,"October 19, 2012 (Domestic)",0,6002451,4653704.0,10656155.0,2012,1000000,6002451
