ids,star_2010,star_2011,star_2012,star_2013,star_2014,star_2015,star_2016,star_2017,star_2018,star_2019,star_2020,star_2021,star_2022,star_2023
3347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3353,0,0,0,0,0,0,0,0,21,21,21,0,0,23
36117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134436,0,0,0,0,0,0,0,0,0,0,0,0,67,67
3366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3393,0,0,0,0,59,59,137,179,282,221,120,41,24,25
3396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3407,0,0,0,0,0,0,49,119,119,70,0,0,0,0
68946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36209,0,0,0,0,0,0,0,0,0,17,84,84,67,0
3445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3447,36,0,36,0,0,0,0,0,0,0,0,0,0,0
