,MPAA,Running Time,Genres,Title,Revenue,imdb_ids,Domestic Distributor,Domestic Opening,Earliest Release Date,Budget
172,,1 hr 16 min,Documentary,Caris' Peace (2011),{},tt1047450,,,,
173,PG,1 hr 45 min,Comedy Family,Parental Guidance (2012),"{'Domestic': 77267296, 'International': 42504936, 'Worldwide': 119772232}",tt1047540,Twentieth Century Fox,14554053.0,"December 25, 2012 (Domestic)",25000000.0
174,,1 hr 30 min,Biography,Pablo (2012),{},tt1049406,,,,
175,,1 hr 20 min,Comedy,Chasing Happiness (2012),{},tt1049409,,,,
176,R,1 hr 31 min,Comedy,Boy Toy (2011),{},tt1051213,,,,
177,,48 min,Documentary,Catálogo de escenarios para la muerte de Pier Paolo Pasolini (2011),{},tt10516452,,,,
178,PG,1 hr 42 min,Comedy,The Big Year (2011),"{'Domestic': 7204138, 'International': 975278, 'Worldwide': 8179416}",tt1053810,Twentieth Century Fox,3251884.0,"October 14, 2011 (Domestic)",41000000.0
179,,1 hr 50 min,Drama,Dreams Awake (2011),{},tt1053835,,,,
180,,1 hr 24 min,Documentary,One Lucky Elephant (2010),{},tt1053902,,,,
181,,7 min,Short,Cove (2012),{},tt10575082,,,,
182,,1 hr,Action Comedy Crime,Züri Zoo (2011),{},tt10587942,,,,
183,,1 hr 38 min,Comedy,Sophomore (2012),"{'Domestic': 18945, 'International': 18945}",tt1059317,,13097.0,"January 13, 2012 (Domestic)",
184,R,1 hr 28 min,Action Crime Thriller,Transit (2012),"{'Domestic': 663432, 'International': 663432}",tt1059836,,,"July 5, 2012 (United Arab Emirates)",
185,,1 hr 30 min,Action Comedy,The Legend of Awesomest Maximus (2011),{},tt1059887,,,,
186,,1 hr 30 min,Sci-Fi,Hawk Warrior of the Wheelzone (2012),{},tt10612336,,,,
187,PG,1 hr 28 min,Documentary,Got the Facts on Milk? (2008),{},tt1065086,,,,
188,,51 min,Documentary,"Freddy Buache, le cinéma (2012)",{},tt10657178,,,,
189,,1 hr 33 min,Drama Horror,The Ascension (2011),{},tt1067062,,,,
190,,1 hr 30 min,Comedy,For Christ's Sake (2010),{},tt1067107,,,,
191,PG-13,2 hr 2 min,Drama Romance,Water for Elephants (2011),"{'Domestic': 58709717, 'International': 58385185, 'Worldwide': 117094902}",tt1067583,Twentieth Century Fox,16842353.0,"April 15, 2011 (EMEA)",38000000.0
192,PG,1 hr 49 min,Adventure Comedy Family Romance,Monte Carlo (2011),"{'Domestic': 23186769, 'International': 16595914, 'Worldwide': 39782683}",tt1067774,Twentieth Century Fox,7453944.0,"June 30, 2011 (EMEA, APAC)",20000000.0
193,PG-13,1 hr 53 min,Comedy Drama Music Romance,Footloose (2011),"{'Domestic': 51802742, 'International': 11740586, 'Worldwide': 63543328}",tt1068242,,,"April 9, 2010 (EMEA)",24000000.0
194,,1 hr 28 min,Horror,Midnight Son (2011),"{'Domestic': 973, 'International': 973}",tt1068961,,,"January 11, 2013 (United Kingdom)",
195,R,1 hr 28 min,Action Animation Fantasy Horror,The Amazing Adventures of the Living Corpse (2012),{},tt1071809,,,,
