ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
13702,15000000,[35],['Comedy'],tt0365125,"[8, 10059, 1422, 1512, 2778]","['Fine Line Features', 'This Is That Productions', 'Killer Films', 'John Wells Productions', 'City Lights Pictures']",2004-09-12,1914166,89,A Dirty Shame
14024,15000000,"[10402, 18, 10749, 10751]","['Music', 'Drama', 'Romance', 'Family']",tt0361696,"[3235, 12, 816, 15312]","['Brookwell-McNamara Entertainment', 'New Line Cinema', 'FilmEngine', 'ChickFlick Productions']",2004-08-10,14867514,103,Raise Your Voice
14172,14000000,[28],['Action'],tt0367478,"[34999, 37343, 7818, 120326, 120327, 2623, 120328, 120329, 120330]","['Bauer Martinez Studios', 'UKFS', 'Frame Werk Produktion GmbH & Co. KG', 'The Tower Limited Liability Partnership', 'Lucky 7 Productions LLC', 'Blue Rider Pictures', 'LMCP Films', 'Royal Bank of Scotland', 'Sagewise']",2004-12-28,521918,91,Wake of Death
210864,1000000,[99],['Documentary'],tt0424885,[46489],['Citizens United'],2004-10-22,93000,72,Celsius 41.11
14287,0,[99],['Documentary'],tt0360216,[4396],['NBA Entertainment'],2004-09-16,38585,88,The Year of the Yao
14292,28000000,"[18, 36]","['Drama', 'History']",tt0349825,[2],['Walt Disney Pictures'],2004-02-06,64445708,135,Miracle
14337,7000,"[878, 18, 53]","['Science Fiction', 'Drama', 'Thriller']",tt0390384,[133460],['Shane Carruth'],2004-10-08,545436,77,Primer
14442,31000000,"[10751, 14, 35]","['Family', 'Fantasy', 'Comedy']",tt0327679,"[7692, 85437]","['World 2000 Entertainment', 'Enchanted Productions']",2004-04-09,27388767,96,Ella Enchanted
14462,80000000,"[18, 53, 9648]","['Drama', 'Thriller', 'Mystery']",tt0368008,"[1274, 4, 258]","['Clinica Estetico', 'Paramount', 'Scott Rudin Productions']",2004-07-30,96105964,129,The Manchurian Candidate
14614,0,"[35, 10752]","['Comedy', 'War']",tt0359078,[],[],2004-12-03,529546,84,Churchill: The Hollywood Years
14623,57000000,"[28, 12, 35, 10751, 14, 878]","['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",tt0167456,"[10163, 12362, 694, 33]","['Working Title Films', 'Tracy Films', 'StudioCanal', 'Universal Pictures']",2004-07-23,28283637,95,Thunderbirds
14844,23000000,"[35, 10749]","['Comedy', 'Romance']",tt0360139,"[67252, 1088, 22153, 8291, 2979]","['Micro Fusion 2003-2', 'Alcon Entertainment', 'Trademark Films', 'C.R.G. International', 'ETIC Films']",2004-01-09,12195626,111,Chasing Liberty
14846,35000000,"[35, 10749, 18]","['Comedy', 'Romance', 'Drama']",tt0361841,"[2779, 497]","['Blue Star Pictures', 'Revolution Studios']",2004-08-06,22035509,111,Little Black Book
15045,26000000,"[35, 10751, 14]","['Comedy', 'Family', 'Fantasy']",tt0396592,"[89719, 1302, 25]","['Culver Studios', 'Davis Entertainment', '20th Century Fox']",2004-12-25,48563556,93,Fat Albert
15089,5000000,[99],['Documentary'],tt0353168,"[7192, 2916]","['Stephen Low Productions', 'K2 Communications']",2004-12-02,30000000,48,Fighter Pilot: Operation Red Flag
15237,15000000,"[18, 10402]","['Drama', 'Music']",tt0352277,"[8880, 21, 834]","['Winkler Films', 'Metro-Goldwyn-Mayer', 'Potboiler Productions']",2004-07-02,18400000,125,De-Lovely
15566,45000000,"[35, 10749]","['Comedy', 'Romance']",tt0252028,"[7161, 10239, 7]","['LivePlanet', 'Tall Trees Productions', 'DreamWorks Pictures']",2004-09-21,14793624,91,Surviving Christmas
15644,20000000,"[28, 18, 53]","['Action', 'Drama', 'Thriller']",tt0338325,"[152, 4564, 25, 208151]","['Icon Productions', 'Icon Entertainment International', '20th Century Fox', 'Sprockets Music']",2004-09-03,16796512,84,Paparazzi
15673,20000000,"[10402, 35, 80]","['Music', 'Comedy', 'Crime']",tt0345074,"[1171, 33, 158, 95595]","['Epsilon Motion Pictures', 'Universal Pictures', 'Spyglass Entertainment', 'CCLA Productions']",2004-04-16,11341016,98,Connie and Carla
48463,1400000,"[35, 12, 27]","['Comedy', 'Adventure', 'Horror']",tt0374639,[2273],['Eden Rock Media'],2004-12-17,37493,94,Incident at Loch Ness
15708,850000,"[18, 35, 10749]","['Drama', 'Comedy', 'Romance']",tt0345551,[3103],['Funny Boy Films'],2004-01-30,819939,108,Latter Days
15775,532673,"[14, 18, 10749]","['Fantasy', 'Drama', 'Romance']",tt0332136,"[870, 763, 19507, 50796, 3275, 50797, 50798]","['Tapestry Films', 'Intermedia Films', 'Outlaw Productions', 'Love Spell Entertainment', 'Box Film', 'Bondesen-Graup', 'If Only Production Services Ltd.']",2004-01-23,3000000,92,If Only
48732,0,"[99, 10751]","['Documentary', 'Family']",tt0381006,[2],['Walt Disney Pictures'],2004-07-04,314402,84,America's Heart and Soul
48870,0,"[18, 53]","['Drama', 'Thriller']",tt0424365,[16],['United King Films'],2004-04-11,25280,88,Promised Land
16131,0,"[18, 53]","['Drama', 'Thriller']",tt0360130,[60],['United Artists'],2004-10-22,156767,108,Undertow
16232,30000000,"[35, 18]","['Comedy', 'Drama']",tt0339412,"[7405, 9195]","['Dimension Films', 'Touchstone Pictures']",2004-06-15,21800302,104,Mr. 3000
16427,1500000,"[35, 9648]","['Comedy', 'Mystery']",tt0377744,"[20911, 16116, 8860, 299, 8862, 8863]","['Televisa', 'FIDECINE', 'Eye On The Ball Films', 'Instituto Mexicano de Cinematografía', 'Jose and Friends Inc.', 'Plural Entertainment']",2004-05-14,10057021,98,A Day Without a Mexican
16428,10000000,"[35, 10749]","['Comedy', 'Romance']",tt0349169,"[3287, 5673]","['Screen Gems', 'Breakup Productions']",2004-05-14,12500000,85,Breakin' All the Rules
16605,0,"[18, 10749]","['Drama', 'Romance']",tt0381429,"[2948, 5668, 1615, 418, 1380, 417, 2818]","['Showtime Australia', 'Red Carpet Productions', 'Fortissimo Films', 'New South Wales Film & Television Office', 'Australian Film Finance Corporation', 'Australian Film Commission', 'SBS Independent']",2004-06-19,1482316,105,Somersault
16617,27000000,"[9648, 53, 80]","['Mystery', 'Thriller', 'Crime']",tt0297284,"[19507, 19511, 251, 433, 763, 4588, 7405, 19508, 19509, 19510]","['Outlaw Productions', 'Outlaw Victoria Productions Inc.', 'Avenue Pictures', 'Weed Road Pictures', 'Intermedia Films', 'Egmond Film & Television', 'Dimension Films', 'Mindhunters (UK) Limited', 'Mindhunters Productie BV', 'Tonna Oy']",2004-05-07,21148829,106,Mindhunters
16635,12000000,"[10749, 18]","['Romance', 'Drama']",tt0349260,"[3200, 3201, 11317]","['Chartoff Productions', 'Merlin Films', 'Phoenix Pictures']",2004-05-04,1491434,103,In My Country
16784,30000000,[35],['Comedy'],tt0361925,"[763, 19354, 89720, 25]","['Intermedia Films', 'Mediastream Vierte Film GmbH & Co. Vermarktungs KG', 'Mooseport Productions', '20th Century Fox']",2004-02-24,14000000,110,Welcome to Mooseport
17047,26000000,"[35, 28, 12, 10751, 10749]","['Comedy', 'Action', 'Adventure', 'Family', 'Romance']",tt0358349,"[4000, 8807, 368, 12027, 21]","['Maverick Films', 'Dylan Sellers Productions', 'Splendid Pictures', 'Madacy Entertainment', 'Metro-Goldwyn-Mayer']",2004-03-12,28818995,100,Agent Cody Banks 2: Destination London
247481,500000,[10402],['Music'],tt0433578,[10691],['Columbia Records'],2004-11-23,2303489,82,Jessica Simpson: Reality Tour Live
18475,16000000,[35],['Comedy'],tt0380277,[3494],['Cookout Productions'],2004-09-03,12009070,97,The Cookout
51363,0,"[18, 53, 10749]","['Drama', 'Thriller', 'Romance']",tt0396271,[54016],['Rotholz Pictures'],2004-06-06,159429,81,When Will I Be Loved
18701,18000000,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']",tt0340012,[805],['Serendipity Point Films'],2004-09-03,14339171,104,Being Julia
18923,6500000,"[18, 10749]","['Drama', 'Romance']",tt0359423,"[1422, 11351]","['Killer Films', 'Hart-Sharp Entertainment']",2004-07-23,1548955,96,A Home at the End of the World
19084,12000000,"[35, 10751]","['Comedy', 'Family']",tt0359517,"[43, 11051, 4342, 11052]","['Fox Searchlight Pictures', 'Hallway Pictures', 'A Bird and a Bear Entertainment', 'Catch Productions']",2004-04-07,31179516,97,Johnson Family Vacation
19180,13000000,"[53, 10749]","['Thriller', 'Romance']",tt0326828,[92629],['Forum Films'],2004-05-16,574672,96,A Different Loyalty
84807,0,"[18, 80]","['Drama', 'Crime']",tt0407551,[],[],2004-09-10,10529,110,Autumn
19423,0,"[35, 10749]","['Comedy', 'Romance']",tt0388285,"[1063, 5092, 6763, 3432]","['Brightlight Pictures', 'Chum City', 'National Lampoon', 'National Lampoon Productions']",2004-08-20,1752950,93,Going the Distance
19936,0,"[27, 53]","['Horror', 'Thriller']",tt0376650,[21138],['DeA Planeta Home Entertainment'],2004-10-08,1652711,93,Hipnos
