id,name,known_for_dept,popularity
1273204,Daniel Lee Smith,Acting,0.6
1273205,Leah Gale,Acting,0.98
35022,David Darlow,Acting,2.156
1273206,Erik Gundersen,Acting,0.98
3284,Bruce Springsteen,Acting,5.841
110141,Alex Désert,Acting,5.237
1273207,Alan S. Johnson,Acting,0.6
204293,Ian Belknap,Acting,0.6
1084579,Andrew Micheli,Acting,0.652
86561,Polly Noonan,Acting,0.982
1226311,Philip Rayburn Smith,Acting,2.274
181502,Michele Graff,Acting,0.6
146281,Susie Cusack,Acting,7.619
1141597,Liam Hayes,Sound,0.6
1273209,Damian Rogers,Acting,0.98
1273210,Robert A. Villanueva,Acting,0.6
1273211,Joe Spaulding,Acting,0.98
1055739,Scott A. Martin,Acting,0.6
1273212,Heather Norris,Acting,0.6
74776,Timothy W. Tiedje,Art,1.4
1967028,James Azrael,Acting,0.6
2625633,Ian Michaels,Acting,0.638
76003,Susan Hegarty,Crew,1.198
821,Beverly D'Angelo,Acting,15.004
3224,Stephen Frears,Directing,9.275
1100,Arnold Schwarzenegger,Acting,26.322
4688,Michael Rapaport,Acting,20.019
3417,Tony Goldwyn,Acting,15.348
12132,Michael Rooker,Acting,19.411
41819,Sarah Wynter,Acting,7.116
19957,Wendy Crewson,Acting,9.001
87073,Rodney Rowland,Acting,3.391
53256,Terry Crews,Acting,20.92
58406,Ken Pogue,Acting,2.93
1218926,Colin Cunningham,Acting,2.741
3087,Robert Duvall,Acting,20.994
117085,Wanda Cannon,Acting,3.543
378849,Taylor Reid,Acting,7.418
131649,Jennifer Gareis,Acting,2.436
79025,Don McManus,Acting,8.193
33355,Steve Bacic,Acting,8.747
7223,Christopher Lawford,Acting,1.792
153847,Mark Brandon,Acting,6.802
158644,Ellie Harvie,Acting,7.829
15863,Don S. Davis,Acting,8.28
2576470,Jennifer Sterling,Acting,0.67
41338,Walter von Huene,Acting,2.146
1934855,Chris Cound,Acting,2.264
1218206,Ben Bass,Acting,3.112
566944,Robert Clarke,Acting,3.675
2574911,Michael Budman,Acting,0.6
140258,Warren Takeuchi,Acting,1.411
1224873,Claudine Grant,Acting,0.6
190944,Alexandra Castillo,Acting,10.738
134827,D. Neil Mark,Acting,2.618
37696,Colin Lawrence,Acting,12.991
