,ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
23163,24648,0,"[18, 27, 878, 53]","['Drama', 'Horror', 'Science Fiction', 'Thriller']",tt0435770,"[52163, 2969]","[b'Signal Hill Pictures LLC', b'Namesake Entertainment']",2/28/06,0,103,b'The Visitation'
23256,58289,0,[10402],['Music'],tt0940746,[],[],7/11/06,0,52,b'Seether - One Cold Night'
23834,685678,0,[],[],,[],[],1/1/06,0,26,"b""Can't Swallow It, Can't Spit It Out"""
27815,253432,0,[99],['Documentary'],tt0963803,[],[],9/12/07,0,86,b'Tony Bennett: The Music Never Ends'
29073,263293,0,"[35, 99]","['Comedy', 'Documentary']",,[],[],1/1/08,0,0,"b""Doin' Time in the Homo No Mo' Halfway House"""
30225,74723,0,"[35, 10751]","['Comedy', 'Family']",tt0969250,[],[],10/7/08,0,91,b'Dog Gone'
30949,308326,0,[],[],,[],[],1/1/08,0,0,"b""It's a Big, Big World: Everybody's Different"""
32755,318309,0,[],[],,[],[],8/1/08,0,106,b'Curious George Takes a Job'
32975,24786,0,"[18, 10749, 10752]","['Drama', 'Romance', 'War']",tt0785012,"[42004, 72448]","[b'Thema Production', b'Peace Arch Films']",3/4/08,0,113,b'In Tranzit'
35158,826032,0,[10749],['Romance'],tt1890585,[153783],[b'Slingshot Pictures'],5/26/09,0,13,b'Waiting 4 Goliath'
36582,277325,0,"[10749, 18]","['Romance', 'Drama']",tt1500847,[25385],[b'Experimental Film Society'],10/8/09,0,72,b'Only Human'
40388,136625,0,[10402],['Music'],,[4457],[b'Hollywood Records'],5/11/10,0,76,b'Nick Jonas & The Administration: Live At Wiltern'
41741,208811,0,[878],['Science Fiction'],tt1123366,[],[],6/6/10,0,78,b'Atom Nine Adventures'
42554,49346,1000000,"[27, 28, 53]","['Horror', 'Action', 'Thriller']",tt1415284,[],[],11/9/10,0,85,b'The Brazen Bull'
